Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,Luka Dončić,26,LAL,PG,64,64,35.8,10.8,22.8,.476,4.0,10.8,.366,6.9,11.9,.575,.563,7.9,10.1,.780,0.6,7.1,7.7,8.3,1.6,0.5,4.0,2.4,33.5,AS,doncilu01
2,Shai Gilgeous-Alexander,27,OKC,PG,68,68,33.2,10.8,19.4,.553,1.7,4.4,.386,9.1,15.0,.602,.597,7.9,9.0,.879,0.6,3.7,4.3,6.6,1.4,0.8,2.2,2.0,31.1,AS,gilgesh01
3,Anthony Edwards,24,MIN,SG,61,60,35.0,9.9,20.2,.489,3.4,8.4,.399,6.5,11.8,.554,.572,5.7,7.2,.796,0.6,4.4,5.0,3.7,1.4,0.8,2.9,1.9,28.8,AS,edwaran01
4,Jaylen Brown,29,BOS,SF,71,71,34.4,10.4,21.7,.477,2.0,5.7,.347,8.4,16.0,.523,.522,6.0,7.5,.795,1.1,5.8,6.9,5.1,1.0,0.4,3.6,2.7,28.7,AS,brownja02
5,Tyrese Maxey,25,PHI,PG,69,69,38.2,9.9,21.6,.461,3.2,8.6,.367,6.8,13.0,.523,.534,5.3,6.0,.891,0.3,3.8,4.2,6.7,1.9,0.8,2.4,2.2,28.4,AS,maxeyty01
6,Kawhi Leonard,34,LAC,SF,65,65,32.1,9.8,19.4,.505,2.6,6.8,.387,7.1,12.5,.569,.573,5.7,6.4,.892,1.1,5.3,6.4,3.6,1.9,0.4,2.0,1.2,27.9,AS,leonaka01
7,Donovan Mitchell,29,CLE,SG,70,70,33.5,9.7,20.0,.483,3.2,8.8,.364,6.5,11.2,.577,.563,5.3,6.1,.865,0.7,3.8,4.5,5.7,1.5,0.3,2.8,2.3,27.9,AS,mitchdo01
8,Nikola Jokić,30,DEN,C,64,64,35.1,10.0,17.5,.569,1.7,4.6,.379,8.2,12.9,.636,.618,6.1,7.4,.828,2.9,10.0,12.9,10.9,1.4,0.8,3.8,2.7,27.8,AS,jokicni01
9,Giannis Antetokounmpo,31,MIL,PF,36,36,28.9,10.4,16.6,.624,0.4,1.3,.333,9.9,15.4,.647,.636,6.4,9.9,.650,2.7,7.1,9.8,5.4,0.9,0.7,3.2,2.4,27.6,AS,antetgi01
10,Joel Embiid,31,PHI,C,38,38,31.6,9.0,18.3,.489,1.4,4.2,.333,7.6,14.2,.535,.527,7.5,8.8,.854,2.0,5.7,7.7,3.9,0.6,1.2,2.9,2.2,26.9,,embiijo01
